,Algorithm,Recall,Precision,Balanced Accuracy
0,TREE_CLASSIFIER,0.785489740824365,0.795466180937514,0.7915672205607879
1,SVM_CLASSIFIER,0.7776971070918075,0.8532168449480331,0.8221388090570778
2,RANDOM_FOREST_CLASSIFIER,0.8372067417763844,0.8864338349770697,0.8654418273534915
3,KNN_CLASSIFIER,0.749444755137401,0.8738471150956542,0.8212924968306747
