,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.6532258064516129,0.6570895270839653,0.6551499348109517
1,2.0,0.7338709677419355,0.7388862140908361,0.733440170940171
2,3.0,0.7580645161290323,0.7593521279479533,0.7560846560846561
3,4.0,0.6935483870967742,0.6980889129845486,0.6953125
4,5.0,0.7258064516129032,0.7281735539271235,0.7266300078554595
5,6.0,0.7903225806451613,0.8046538314420502,0.7968054464519507
6,7.0,0.717741935483871,0.7184727822580644,0.7180588082227426
7,8.0,0.6774193548387096,0.6805988980947975,0.6790091264667536
8,9.0,0.7479674796747967,0.748058488047567,0.7465572033898304
9,10.0,0.7642276422764228,0.7667575272151027,0.7654925847457628
10,All folds,0.7357251054531351,0.7223047740839774,0.7272540438968279
