,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.8300395256916996,0.8300179147365848,0.8289786967418546
1,2.0,0.8102766798418972,0.817896948331731,0.8093125
2,3.0,0.8458498023715415,0.8520971482703427,0.8494532428355959
3,4.0,0.8260869565217391,0.8284750822300229,0.8241771993492679
4,5.0,0.8379446640316206,0.8388988106030388,0.8348085373509102
5,6.0,0.8142292490118577,0.8151558640648304,0.8147497805092185
6,7.0,0.83399209486166,0.83399209486166,0.8335526315789473
7,8.0,0.8102766798418972,0.8159598387443572,0.8118824265165728
8,9.0,0.7865612648221344,0.7902830011115491,0.7840382930797147
9,10.0,0.8260869565217391,0.8333124765361031,0.8304347826086957
10,All folds,0.7776971070918075,0.8532168449480331,0.8221388090570778
