,precision,recall,f1-score,support
0,0.7722513089005235,0.793010752688172,0.7824933687002652,372.0
1,0.5815217391304348,0.5515463917525774,0.5661375661375662,194.0
accuracy,0.7102473498233216,0.7102473498233216,0.7102473498233216,0.7102473498233216
macro avg,0.6768865240154791,0.6722785722203747,0.6743154674189157,566.0
weighted avg,0.7068775694386911,0.7102473498233216,0.7083360794826616,566.0
