,precision,recall,f1-score,support
0,0.6230366492146597,0.6574585635359116,0.6397849462365592,181.0
1,0.8346666666666667,0.812987012987013,0.8236842105263158,385.0
accuracy,0.7632508833922261,0.7632508833922261,0.7632508833922261,0.7632508833922261
macro avg,0.7288516579406632,0.7352227882614624,0.7317345783814375,566.0
weighted avg,0.7669899296369613,0.7632508833922261,0.7648754351969059,566.0
