,precision,recall,f1-score,support
0,0.7746478873239436,0.8136094674556213,0.7936507936507937,338.0
1,0.7014218009478673,0.6491228070175439,0.6742596810933942,228.0
accuracy,0.7473498233215548,0.7473498233215548,0.7473498233215548,0.7473498233215548
macro avg,0.7380348441359055,0.7313661372365826,0.7339552373720939,566.0
weighted avg,0.7451504532360541,0.7473498233215548,0.7455568472495797,566.0
