,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.6532258064516129,0.6529940674823879,0.6520208604954367
1,2.0,0.6532258064516129,0.6615132270681751,0.6533119658119658
2,3.0,0.7016129032258065,0.7001767565178967,0.6933862433862434
3,4.0,0.6290322580645161,0.6303427419354838,0.6296875
4,5.0,0.6370967741935484,0.6442638284963091,0.6406127258444618
5,6.0,0.6532258064516129,0.6549395161290323,0.6529196124639958
6,7.0,0.7016129032258065,0.7066436251920122,0.7027062190996617
7,8.0,0.5967741935483871,0.5975044697942635,0.5966101694915253
8,9.0,0.5934959349593496,0.5928090083039868,0.591498940677966
9,10.0,0.6016260162601627,0.6036176278076341,0.6026218220338984
10,All folds,0.6340511361351171,0.6441122510346575,0.6415376059305157
