,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.8063241106719368,0.8064221082546631,0.806015037593985
1,2.0,0.7984189723320159,0.7984187252346683,0.79834375
2,3.0,0.8023715415019763,0.8031446335434838,0.8024446958270488
3,4.0,0.849802371541502,0.8498053433980207,0.84933049680891
4,5.0,0.7865612648221344,0.7865612648221344,0.785593220338983
5,6.0,0.7984189723320159,0.7988708146467147,0.7984133952088298
6,7.0,0.7747035573122529,0.7745828340457496,0.7734962406015038
7,8.0,0.766798418972332,0.7713524660594604,0.7682614133833646
8,9.0,0.7351778656126482,0.7386453580263455,0.7366725065698911
9,10.0,0.7984189723320159,0.7985836212616982,0.7971014492753623
10,All folds,0.785489740824365,0.795466180937514,0.7915672205607879
