,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.6532258064516129,0.6611580474483701,0.6567144719687092
1,2.0,0.6935483870967742,0.7103830645161291,0.7013888888888888
2,3.0,0.7419354838709677,0.7419354838709677,0.7375661375661375
3,4.0,0.7580645161290323,0.759643817204301,0.7588541666666666
4,5.0,0.6774193548387096,0.6784455566303571,0.6766169154228856
5,6.0,0.7580645161290323,0.7603980425239019,0.7590992406389108
6,7.0,0.6935483870967742,0.6958543445759319,0.6942492844132189
7,8.0,0.6774193548387096,0.679165302644943,0.6782268578878748
8,9.0,0.6829268292682927,0.6827318113266421,0.6814088983050848
9,10.0,0.7073170731707317,0.7071485068917674,0.7061705508474576
10,All folds,0.7241948024522051,0.6976206674857766,0.7050295412605835
