,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.8300395256916996,0.8318095695688436,0.8273496240601503
1,2.0,0.8221343873517787,0.830940433945978,0.821125
2,3.0,0.8379446640316206,0.8457107461001037,0.8421003016591252
3,4.0,0.83399209486166,0.8375044800831906,0.8318107871355275
4,5.0,0.8181818181818182,0.8231016042780749,0.812554927809165
5,6.0,0.83399209486166,0.8459629331507221,0.8385802082026841
6,7.0,0.8458498023715415,0.8460789368161769,0.8444235588972431
7,8.0,0.7905138339920948,0.8078135330695542,0.7935272045028143
8,9.0,0.7747035573122529,0.7798754109264873,0.7717432111125015
9,10.0,0.8221343873517787,0.838093322606597,0.8297101449275361
10,All folds,0.749444755137401,0.8738471150956542,0.8212924968306747
