,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.8972332015810277,0.8978827339626115,0.8957393483709273
1,2.0,0.8735177865612648,0.8757518473964598,0.8730312499999999
2,3.0,0.8932806324110671,0.8942130054413983,0.8941679235796882
3,4.0,0.8814229249011858,0.8826940527877262,0.8801464147165561
4,5.0,0.8379446640316206,0.8388988106030388,0.8348085373509102
5,6.0,0.857707509881423,0.8589125494071146,0.8586165809607424
6,7.0,0.8616600790513834,0.8620323472921564,0.861904761904762
7,8.0,0.857707509881423,0.8625579380183829,0.8591307066916822
8,9.0,0.8102766798418972,0.8106572128666922,0.8091915905393567
9,10.0,0.8853754940711462,0.8880686080611061,0.8876811594202898
10,All folds,0.8372067417763844,0.8864338349770697,0.8654418273534915
