,Fold,Recall,Precision,Balanced Accuracy
0,1.0,0.6451612903225806,0.6468736622094633,0.6458930899608866
1,2.0,0.717741935483871,0.7289416030822694,0.7222222222222222
2,3.0,0.75,0.7542372881355932,0.7510582010582011
3,4.0,0.7096774193548387,0.7196029776674938,0.7125
4,5.0,0.7258064516129032,0.7281735539271235,0.7266300078554595
5,6.0,0.7741935483870968,0.7785248419833296,0.7766431002880335
6,7.0,0.7580645161290323,0.7584590331814023,0.7582617746552173
7,8.0,0.6532258064516129,0.6555779569892473,0.654367666232073
8,9.0,0.6991869918699187,0.7031807160176864,0.7010063559322034
9,10.0,0.7642276422764228,0.7713686361462545,0.7668167372881356
10,All folds,0.7085682394043757,0.7270201869360627,0.7215399155492432
