,precision,recall,f1-score,support
0,0.6313131313131313,0.6906077348066298,0.6596306068601583,181.0
1,0.8478260869565217,0.8103896103896104,0.8286852589641434,385.0
accuracy,0.7720848056537103,0.7720848056537103,0.7720848056537103,0.7720848056537103
macro avg,0.7395696091348265,0.7504986725981202,0.7441579329121508,566.0
weighted avg,0.778587844957487,0.7720848056537103,0.7746236122665793,566.0
