,precision,recall,f1-score,support
0,0.7435158501440923,0.7633136094674556,0.7532846715328468,338.0
1,0.634703196347032,0.6096491228070176,0.621923937360179,228.0
accuracy,0.7014134275618374,0.7014134275618374,0.7014134275618374,0.7014134275618374
macro avg,0.6891095232455622,0.6864813661372366,0.687604304446513,566.0
weighted avg,0.6996831910173613,0.7014134275618374,0.700369040099334,566.0
