,precision,recall,f1-score,support
0,0.8289156626506025,0.8431372549019608,0.8359659781287972,408.0
1,0.5761589403973509,0.5506329113924051,0.5631067961165049,158.0
accuracy,0.7614840989399293,0.7614840989399293,0.7614840989399293,0.7614840989399293
macro avg,0.7025373015239766,0.6968850831471829,0.6995363871226511,566.0
weighted avg,0.7583581324102955,0.7614840989399293,0.7597968071783693,566.0
