,precision,recall,f1-score,support
0,0.7728531855955678,0.75,0.7612551159618008,372.0
1,0.5463414634146342,0.5773195876288659,0.5614035087719298,194.0
accuracy,0.6908127208480566,0.6908127208480566,0.6908127208480566,0.6908127208480566
macro avg,0.659597324505101,0.663659793814433,0.6613293123668653,566.0
weighted avg,0.6952148921271912,0.6908127208480566,0.6927547417659793,566.0
