,precision,recall,f1-score,support
0,0.855457227138643,0.7859078590785907,0.8192090395480226,369.0
1,0.6519823788546255,0.751269035532995,0.6981132075471698,197.0
accuracy,0.773851590106007,0.773851590106007,0.773851590106007,0.773851590106007
macro avg,0.7537198029966343,0.7685884473057929,0.7586611235475962,566.0
weighted avg,0.7846364760574567,0.773851590106007,0.7770608436042628,566.0
