,precision,recall,f1-score,support
0,0.784,0.7903225806451613,0.7871485943775101,372.0
1,0.5916230366492147,0.5824742268041238,0.587012987012987,194.0
accuracy,0.7190812720848057,0.7190812720848057,0.7190812720848057,0.7190812720848057
macro avg,0.6878115183246074,0.6863984037246424,0.6870807906952485,566.0
weighted avg,0.718061606201321,0.7190812720848057,0.7185508773656417,566.0
