,precision,recall,f1-score,support
0,0.7777777777777778,0.8091397849462365,0.793148880105402,372.0
1,0.6033519553072626,0.5567010309278351,0.579088471849866,194.0
accuracy,0.7226148409893993,0.7226148409893993,0.7226148409893993,0.7226148409893993
macro avg,0.6905648665425201,0.6829204079370358,0.686118675977634,566.0
weighted avg,0.7179922485210994,0.7226148409893993,0.719778351480713,566.0
