,precision,recall,f1-score,support
0,0.7055555555555556,0.7016574585635359,0.703601108033241,181.0
1,0.8601036269430051,0.8623376623376623,0.8612191958495461,385.0
accuracy,0.8109540636042403,0.8109540636042403,0.8109540636042403,0.8109540636042403
macro avg,0.7828295912492804,0.7819975604505991,0.7824101519413935,566.0
weighted avg,0.8106810104745804,0.8109540636042403,0.8108148250107631,566.0
