,precision,recall,f1-score,support
0,0.7981366459627329,0.7603550295857988,0.7787878787878787,338.0
1,0.6680327868852459,0.7149122807017544,0.6906779661016949,228.0
accuracy,0.7420494699646644,0.7420494699646644,0.7420494699646644,0.7420494699646644
macro avg,0.7330847164239894,0.7376336551437765,0.7347329224447867,566.0
weighted avg,0.745727317571095,0.7420494699646644,0.7432948397552817,566.0
