,precision,recall,f1-score,support
0,0.8201219512195121,0.7958579881656804,0.8078078078078078,338.0
1,0.7100840336134454,0.7412280701754386,0.7253218884120173,228.0
accuracy,0.773851590106007,0.773851590106007,0.773851590106007,0.773851590106007
macro avg,0.7651029924164787,0.7685430291705595,0.7665648481099125,566.0
weighted avg,0.7757957229259022,0.773851590106007,0.7745802643056166,566.0
